text,answer,a,b,c,d,e,f,g,h,hint,feedback,implausible_distractors,none_of_the_above,all_of_the_above,fill_in_the_blank,true_or_false,absolute_terms,longest_answer_correct,negative_worded_stem,word_repeats_in_stem_and_correct_answer,avoid_logical_cues,lost_sequence,more_than_one_correct,complex_k_type,ambiguous_unclear_information,gratuitous_information_in_stem,avoid_convergence_cues,grammatical_cues_in_stem,vague_terms,unfocused_stem
A compound proposition that is always true regardless of individual truth values is called a/an _____.,tautology,contradiction,tautology,contingency,equivalence,,,,,,,Pass,Pass,Pass,Fail,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"If a compound proposition is always false regardless of individual truth values, it is a/an _____.",contradiction,tautology,inference,contradiction,equivalence,,,,,,,Pass,Pass,Pass,Fail,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"To show two compound propositions are logically equivalent, their biconditional must be a/an _____.",tautology,contradiction,tautology,invalid statement,contingency,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which truth assignment disproves that \((p \land q) \rightarrow r\) is a tautology?,"\(p = q = \text{T}, r = \text{F}\)",\(p = q = r = \text{T}\),"\(p = q = \text{T}, r = \text{F}\)","\(p = \text{F}, q = r = \text{T}\)","\(p = r = \text{F}, q = \text{T}\)",,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
De Morgan's law states \(\neg (p \lor q) \equiv\) _____.,\(\neg p \land \neg q\),\(\neg p \lor \neg q\),\(\neg p \land \neg q\),\(\neg p \to \neg q\),\(\neg (p \land q)\),,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass
"What is the negation of the statement: ""The child is at least 8 years old and at least 57 inches tall"" using De Morgan's laws?",The child is less than 8 years old or shorter than 57 inches.,The child is less than 8 years old and shorter than 57 inches.,The child is less than 8 years old or shorter than 57 inches.,The child is at least 8 years old or at least 57 inches tall.,The child is at least 8 years old and shorter than 57 inches.,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Fail,Pass,Pass,Pass
Which truth assignment makes \(\neg (p \lor q)\) true?,\(p = q = \text{F}\),\(p = q = \text{T}\),"\(p = \text{T}, q = \text{F}\)",\(p = q = \text{F}\),"\(p = \text{F}, q = \text{T}\)",,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What is the relationship between \(\neg p \lor \neg q\) and \(\neg (p \land q)\)?,They are logically equivalent.,They are logically equivalent.,They are contradictions.,They are tautologies.,They are neither equivalent nor contradictory.,,,,,,,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
How can one prove two compound propositions are not logically equivalent?,Show they have different truth values for some assignment.,Show their biconditional is a tautology.,Show they have different truth values for some assignment.,Show both are contradictions.,Show both are tautologies.,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
The proposition \(p \leftrightarrow \neg p\) is an example of a _____.,contradiction,tautology,contradiction,contingency,logical equivalence,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"When \(p = \text{F}\) and \(q = \text{T}\), which pair is not logically equivalent?",\(p \rightarrow q\) and \(q \rightarrow p\),\(p \rightarrow q\) and \(q \rightarrow p\),\(p \lor q\) and \(\neg p \rightarrow q\),\(p \land q\) and \(q \land p\),\(\neg (p \lor q)\) and \(\neg p \land \neg q\),,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
