text,answer,a,b,c,d,e,f,g,h,hint,feedback,implausible_distractors,none_of_the_above,all_of_the_above,fill_in_the_blank,true_or_false,absolute_terms,longest_answer_correct,negative_worded_stem,word_repeats_in_stem_and_correct_answer,avoid_logical_cues,lost_sequence,more_than_one_correct,complex_k_type,ambiguous_unclear_information,gratuitous_information_in_stem,avoid_convergence_cues,grammatical_cues_in_stem,vague_terms,unfocused_stem
A _proposition_ is a statement that is _____.,either true or false,sometimes true and sometimes false,always true,either true or false,neither true nor false,,,,,,,Pass,Fail,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass
Which sentence is a proposition?,The sky is blue.,Close the window.,What time is it?,The sky is blue.,Please sit down.,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
The conjunction \(p \land q\) is true only when _____.,both \(p\) and \(q\) are true,either \(p\) or \(q\) is true,both \(p\) and \(q\) are true,\(p\) is true and \(q\) is false,both \(p\) and \(q\) are false,,,,,,,Pass,Pass,Pass,Fail,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
The truth table for \(p \lor q\) shows \(p \lor q\) is false when _____.,both \(p\) and \(q\) are false,\(p\) and \(q\) are both true,exactly one of \(p\) or \(q\) is true,\(p\) is true and \(q\) is false,both \(p\) and \(q\) are false,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
The exclusive or \(p \oplus q\) is true when _____.,exactly one of \(p\) or \(q\) is true,both \(p\) and \(q\) are true,both \(p\) and \(q\) are false,exactly one of \(p\) or \(q\) is true,neither \(p\) nor \(q\) is true,,,,,,,Pass,Fail,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
The negation \(\neg p\) has the truth value _____ of proposition \(p\).,opposite of,the same as,opposite of,sometimes equal to,unrelated to,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass
The compound proposition \(p \land q\) means:,\(p\) and \(q\) are both true,\(p\) or \(q\) is true,\(p\) and \(q\) are both true,not \(p\) and not \(q\),either \(p\) or \(q\) but not both,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass
"If \(p\) is true and \(q\) is false, what is \(p \lor q\)?",True,True,False,Unknown,Cannot be determined,,,,,,,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which logical operation reverses the truth value of a proposition?,negation,conjunction,disjunction,negation,exclusive or,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Under what condition do \(p \oplus q\) and \(p \lor q\) differ in truth value?,\(p = q = T\),\(p = q = F\),"\(p = T, q = F\)","\(p = F, q = T\)",\(p = q = T\),,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
A _proposition_ is a statement that is _____.,either true or false,true only,false only,either true or false,neither true nor false,,,,,,,Pass,Fail,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass
