text,answer,a,b,c,d,e,f,g,h,hint,feedback,implausible_distractors,none_of_the_above,all_of_the_above,fill_in_the_blank,true_or_false,absolute_terms,longest_answer_correct,negative_worded_stem,word_repeats_in_stem_and_correct_answer,avoid_logical_cues,lost_sequence,more_than_one_correct,complex_k_type,ambiguous_unclear_information,gratuitous_information_in_stem,avoid_convergence_cues,grammatical_cues_in_stem,vague_terms,unfocused_stem
What does the index variable represent in a summation \(\sum_{i=s}^t a_i\)?,The variable being summed,A constant term,The variable being summed,The upper limit,The lower limit,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What is the value of \(\sum_{j=1}^4 j^3\)?,100,64,36,100,50,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
How can \(\sum_{k=m}^n a_k\) be expressed by pulling out the last term?,\(\sum_{k=m}^{n-1} a_k + a_n\),\(\sum_{k=m}^{n+1} a_k - a_n\),\(\sum_{k=m}^{n-1} a_k + a_n\),\(\sum_{k=m}^{n-1} a_k - a_n\),\(\sum_{k=m+1}^n a_k + a_m\),,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass
"When substituting \(i = k + 2\) in \(\sum_{k=1}^n (k+2)^3\), what is the new lower limit for \(i\)?",3,1,0,3,\(n+2\),,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"If \(j = i + 2\), what is the expression for \(i\) in terms of \(j\)?",\(j - 2\),\(j + 2\),\(j - 2\),\(2 - j\),\(2j\),,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What is the closed form for the sum of an arithmetic sequence \(\sum_{k=0}^{n-1} (a + kd)\)?,\(an + \frac{d(n-1)n}{2}\),\(an + \frac{d(n+1)n}{2}\),\(an + \frac{d(n-1)n}{2}\),\(a + d(n-1)n\),\(a + dn\),,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which formula represents the closed form for the sum of a geometric sequence \(\sum_{k=0}^{n-1} a \cdot r^k\) with \(r \neq 1\)?,\(\frac{a(r^n-1)}{r-1}\),\(\frac{a(r^{n+1}-1)}{r-1}\),\(\frac{a(r^n-1)}{r-1}\),\(a \cdot r^n\),\(a + r^n\),,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What is the sum \(\sum_{k=0}^4 2^k\)?,31,31,15,16,20,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Why are \(\sum_{j=0}^{100} j^3\) and \(\sum_{j=1}^{100} j^3\) equal?,Because \(0^3 = 0\) and does not affect the sum,Because the sums have different indices,Because \(0^3 = 0\) and does not affect the sum,Because the upper limits are the same,Because the index variable can be changed arbitrarily,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
How is the total sales projection after one year calculated if sales grow 10% monthly starting at 1000 widgets?,\(1000 \sum_{k=0}^{11} (1.1)^k = \frac{1000((1.1)^{12} - 1)}{1.1 - 1}\),\(1000 \times 12 \times 1.1\),\(1000 \sum_{k=0}^{11} (1.1)^k = \frac{1000((1.1)^{12} - 1)}{1.1 - 1}\),\(1000 \times (1.1)^{12}\),\(12 \times 1000\),,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"When changing the index variable from \(j\) to \(k\) using \(k = j -1\) in \(\sum_{j=1}^{17} 2^{j-1}\), what is the new summation?",\(\sum_{k=0}^{16} 2^k\),\(\sum_{k=1}^{17} 2^{k-1}\),\(\sum_{k=0}^{16} 2^k\),\(\sum_{k=1}^{16} 2^k\),\(\sum_{k=0}^{17} 2^{k-1}\),,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
